region_id,time,objective,Y_mean,Y_min,Y_max
Chihuahua Desert,-3970,shape,0.18394376499875667,0.10741212663296999,0.28179243639649004
Chihuahua Desert,-3940,shape,0.18856833396762485,0.1115177445117903,0.2857800328282583
Chihuahua Desert,-3910,shape,0.19365378540917547,0.11587042027626404,0.29076578575728695
Chihuahua Desert,-3880,shape,0.19917252272014682,0.12048830257317546,0.29639395466041757
Chihuahua Desert,-3850,shape,0.20490796977925918,0.12531488402574745,0.30230460116993685
Chihuahua Desert,-3820,shape,0.21083635745240323,0.13032749720677536,0.3083700262133822
Chihuahua Desert,-3790,shape,0.2169003079344408,0.13552486127440108,0.31454526792085724
Chihuahua Desert,-3760,shape,0.22312115600511964,0.14089946481630258,0.32082819653540734
Chihuahua Desert,-3730,shape,0.22948066461720076,0.14646737788849293,0.32717863500792393
Chihuahua Desert,-3700,shape,0.2359804271484048,0.15222198843371235,0.33363181852120855
Chihuahua Desert,-3670,shape,0.24263562053671492,0.15816912507303,0.340172380034346
Chihuahua Desert,-3640,shape,0.24943337322571046,0.1643233729757124,0.3467759198007426
Chihuahua Desert,-3610,shape,0.2563641020738642,0.170682423831472,0.3534813612431032
Chihuahua Desert,-3580,shape,0.26345615881241,0.17722524256665095,0.36029492548428205
Chihuahua Desert,-3550,shape,0.2707200616106043,0.18398280534451605,0.36716325058121624
Chihuahua Desert,-3520,shape,0.27811033459719825,0.19099435540932777,0.37399691265999035
Chihuahua Desert,-3490,shape,0.28555509985298677,0.19824811288128208,0.38099670397557966
Chihuahua Desert,-3460,shape,0.29318967599133655,0.20566635274431047,0.3882682162807629
Chihuahua Desert,-3430,shape,0.3011554861460065,0.21322914700920015,0.39569222082658173
Chihuahua Desert,-3400,shape,0.3093677983116809,0.22113215602214384,0.40291176443529836
Chihuahua Desert,-3370,shape,0.317485892565608,0.22938531695980896,0.41003167802422297
Chihuahua Desert,-3340,shape,0.3255664423609195,0.23769804915263554,0.4175850715080317
Chihuahua Desert,-3310,shape,0.3340768748848466,0.24604537338792828,0.4253171091055977
Chihuahua Desert,-3280,shape,0.3427977281247289,0.2549364169087895,0.4326630908905393
Chihuahua Desert,-3250,shape,0.35138029321092873,0.2643447682545204,0.4402833602376461
Chihuahua Desert,-3220,shape,0.3602302068029133,0.27355755175330654,0.44827389732458506
Chihuahua Desert,-3190,shape,0.3693769040351895,0.28287117968898345,0.4559715717033965
Chihuahua Desert,-3160,shape,0.3784610068558137,0.2927866088405417,0.46360281046625124
Chihuahua Desert,-3130,shape,0.3876406649456956,0.3028220940592393,0.47175569066952505
Chihuahua Desert,-3100,shape,0.39721410253037437,0.31291593944425944,0.48008227297364836
Chihuahua Desert,-3070,shape,0.40689005295830294,0.32345694776283085,0.4877507108387955
Chihuahua Desert,-3040,shape,0.4163077585660997,0.3342092156897636,0.4974149787439549
Chihuahua Desert,-3010,shape,0.42607568004220087,0.34500092843619223,0.5074956764018036
Chihuahua Desert,-2980,shape,0.43641151475937806,0.35618656950329125,0.5171994907819266
Chihuahua Desert,-2950,shape,0.44656086881813817,0.3677371651398129,0.5273060459448743
Chihuahua Desert,-2920,shape,0.4563425054870374,0.37920379464534276,0.5375861343634555
Chihuahua Desert,-2890,shape,0.4667031798827266,0.39079491065114447,0.5474167967271915
Chihuahua Desert,-2860,shape,0.4774348231664752,0.40298969126637946,0.5574205937350853
Chihuahua Desert,-2830,shape,0.48772000697564916,0.41557863911546,0.5677686202955973
Chihuahua Desert,-2800,shape,0.4981537711522273,0.4277608819496479,0.5778744648284571
Chihuahua Desert,-2770,shape,0.5090510959807387,0.4401306911207464,0.5875956125955699
Chihuahua Desert,-2740,shape,0.519822206611115,0.4531428492806673,0.5977071757249587
Chihuahua Desert,-2710,shape,0.5304591228141332,0.4661417588738834,0.6082029874822674
Chihuahua Desert,-2680,shape,0.5414944186539669,0.4789654274529567,0.6181422294503411
Chihuahua Desert,-2650,shape,0.5526381300188359,0.4922663988404696,0.6275701883225374
Chihuahua Desert,-2620,shape,0.5634212918865912,0.5058384663140689,0.6376380158995137
Chihuahua Desert,-2590,shape,0.5744570302559758,0.519086562081135,0.6482150183164425
Chihuahua Desert,-2560,shape,0.5859601315703661,0.5325897050709051,0.6578445873137159
Chihuahua Desert,-2530,shape,0.5972216564784962,0.5465512073963921,0.6670619017373272
Chihuahua Desert,-2500,shape,0.6080668248493408,0.5604018089927563,0.6770386463023493
Chihuahua Desert,-2470,shape,0.6193851024352895,0.573871130040184,0.6871951236972644
Chihuahua Desert,-2440,shape,0.6310673548388752,0.5877951582923099,0.6962717097733803
Chihuahua Desert,-2410,shape,0.6422048266751862,0.6022445067634514,0.7055534745072353
Chihuahua Desert,-2380,shape,0.6531691781401087,0.6162470814559509,0.715297970204891
Chihuahua Desert,-2350,shape,0.6646984140102288,0.6296948864576757,0.7245236611559523
Chihuahua Desert,-2320,shape,0.6763259189967119,0.6438011992550144,0.7333932580106549
Chihuahua Desert,-2290,shape,0.6873006197757447,0.657748689348301,0.7426037065978597
Chihuahua Desert,-2260,shape,0.6983916462908193,0.6708564188153189,0.7518613223095227
Chihuahua Desert,-2230,shape,0.709964244935399,0.68445324065936,0.7604033325731996
Chihuahua Desert,-2200,shape,0.7212043648202883,0.6984393266097284,0.7689446143954014
Chihuahua Desert,-2170,shape,0.7319876811457693,0.7116799231425758,0.7778867202615343
Chihuahua Desert,-2140,shape,0.743219973240975,0.7247587958523884,0.7867121958633817
Chihuahua Desert,-2110,shape,0.754643748196947,0.7383721835764936,0.7945845518275008
Chihuahua Desert,-2080,shape,0.7653273645924294,0.7502017451219909,0.8025424776289166
Chihuahua Desert,-2050,shape,0.7759752153241604,0.7611227346205438,0.8111607688416829
