,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,A,be,phi,region_id,segment_index
22,22,0.208321382166679,0.25963624141018,0.102548970045827,0.241545073218526,0.856870271743543,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
23,23,0.209587293418317,0.27707764544852,0.103221016779589,0.243328057727309,0.855762647855358,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
24,24,0.210684274071403,0.29182335570084,0.103983657199257,0.245110378741718,0.853986287294861,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
25,25,0.211849413814382,0.30711565056107,0.10463599137704,0.246798855920861,0.852835875753853,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
26,26,0.213012751462687,0.32384174988956,0.105236251882733,0.248421963811501,0.851918640151018,0.0548578656902684,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.01,0.59790521212707,0.240851948700624,Chihuahua Desert,0
27,27,0.291908216369862,0.33966272059049,0.105236251882733,0.248421963811501,0.851918640151018,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
28,28,0.312729671419105,0.35149354947661,0.123508718760842,0.26480156093726,0.844776350631691,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
29,29,0.331782309482519,0.35831609361064,0.138489068254375,0.282235181788011,0.834778475680714,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
30,30,0.349600745358815,0.36185664528255,0.151172357899603,0.300207782393373,0.823838397092892,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
31,31,0.366195652335162,0.36513802259745,0.162277851784191,0.318482797305046,0.81202220806263,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
32,32,0.381817888494277,0.37071856631524,0.172160210205292,0.336674240178563,0.800496280341512,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
33,33,0.396434352117425,0.37945475201232,0.18111094743879,0.354594658292387,0.789272688863399,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
34,34,0.409880375900559,0.38946103354551,0.189294376764871,0.372154540176675,0.778011369185245,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
35,35,0.422204904198609,0.39626542479711,0.196787956877011,0.38915960462997,0.767044702535936,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
36,36,0.433559621624432,0.3958602645051,0.203610019817102,0.405388813427991,0.756890227272369,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
37,37,0.443806039676062,0.38880617879787,0.209851156907551,0.420850085489769,0.747102907193352,0.0685615337509489,1,0.5,0.5,0.25,1,10,1,0.2,1,1,1,0.25,0.582764691457752,0.448173987460577,0.223742513816241,Chihuahua Desert,1
