,time,YPredicted,YReal,KPredicted,NPredicted,RPredicted,loss,An,d,al,tr,depon,gentime,Z,dn,ksted,nsted,rsted,s,segment_index,A,be,phi,region_id
12,12,0.192978459001306,0.1236752463658,0.0945009991461484,0.219838172628069,0.872102650258489,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
13,13,0.194658731938801,0.12333085724259,0.0954569294748114,0.222103955989644,0.870722447704992,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
14,14,0.196280814238942,0.12559701065723,0.0963919628641773,0.224325698023609,0.869283145493889,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
15,15,0.197875878448888,0.13091989954185,0.0972634584593099,0.226490721434077,0.867972032004097,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
16,16,0.199449558056743,0.13975632802742,0.098070138192668,0.228596847443912,0.866817240459315,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
17,17,0.200976483744114,0.15249426409156,0.0988529427221711,0.230654037412893,0.865665892300299,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
18,18,0.202400061292871,0.16914223042119,0.0996793287238943,0.23268481922976,0.864190198018474,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
19,19,0.203766914747815,0.18954278559825,0.100494041191187,0.234670816973809,0.862664323381141,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
20,20,0.205170295707028,0.21313221028674,0.101215953264755,0.236574600770154,0.861618316561341,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
21,21,0.206611503306789,0.23769245000599,0.101847231810329,0.238396889726544,0.861042365336191,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
22,22,0.207992127980098,0.25963624141018,0.102474529390944,0.240177564435331,0.860373259145247,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
23,23,0.209178758896052,0.27707764544852,0.103210987207124,0.241969194617945,0.858875722135447,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
24,24,0.210343547903761,0.29182335570084,0.103913202265952,0.24370494171854,0.857508039359257,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
25,25,0.211571606897714,0.30711565056107,0.10451267025488,0.245351869856306,0.856727559448387,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
26,26,0.212757118146869,0.32384174988956,0.105096084306335,0.246952580288807,0.855946408462511,0.0548833908765761,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,0,0.01,0.585310078662736,0.239711855215662,Chihuahua Desert
27,27,0.288373799892412,0.33966272059049,0.105096084306335,0.246952580288807,0.855946408462511,0.0685193249142217,1,0.5,0.5,0,1,10,1,0.2,1,1,1,0.25,1,0.55836659354727,0.447097764040728,0.227520369067863,Chihuahua Desert
